City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Gondanglegi,-7.75,112.01,302.5,69,0,3.19,ID,1592448267
Menongue,-14.66,17.69,280.68,76,0,2.25,AO,1592448267
Svay Rieng,11.09,105.8,303.8,67,97,3.32,KH,1592448267
Labuhan,-6.88,112.21,302.55,67,0,3.14,ID,1592448267
Punta Arenas,-53.15,-70.92,273.71,86,0,2.6,CL,1592448267
Cape Town,-33.93,18.42,283.71,75,0,3.1,ZA,1592448120
Cidreira,-30.18,-50.21,290.78,85,53,3.12,BR,1592448267
Hilo,19.73,-155.09,302.15,58,1,4.6,US,1592448267
Atuona,-9.8,-139.03,300.2,73,57,6.16,PF,1592448267
Kapaa,22.08,-159.32,301.15,65,75,6.7,US,1592448267
Zavetnoye,47.12,43.89,295.52,52,92,6.31,RU,1592448267
Rikitea,-23.12,-134.97,297.4,84,91,7.79,PF,1592448267
Busselton,-33.65,115.33,287.59,65,32,9.09,AU,1592448268
Bethel,41.37,-73.41,292.15,88,20,2.1,US,1592448268
Channel-Port aux Basques,47.57,-59.14,286.78,74,100,3.07,CA,1592448268
Shëngjin,41.81,19.59,291.15,93,1,0.5,AL,1592448268
Carnarvon,-24.87,113.63,293.15,94,90,6.7,AU,1592448268
Algiers,36.75,3.04,291.15,82,40,0.5,DZ,1592448248
Fort-Shevchenko,44.51,50.26,300.87,27,81,7.38,KZ,1592448268
Ponta do Sol,32.67,-17.1,292.15,77,20,3.1,PT,1592448268
Mar del Plata,-38.0,-57.56,289.15,93,75,6.56,AR,1592448268
Mossamedes,-15.2,12.15,295.1,52,0,2.6,AO,1592448268
Namatanai,-3.67,152.43,302.63,69,2,3.86,PG,1592448269
Savannah Bight,16.45,-85.85,301.43,78,100,8.82,HN,1592448269
Tuktoyaktuk,69.45,-133.04,281.15,93,75,3.1,CA,1592448269
Arraial do Cabo,-22.97,-42.03,294.79,76,0,7.67,BR,1592448256
Bilma,18.69,12.92,302.66,15,0,4.84,NE,1592448269
Nikolskoye,59.7,30.79,292.59,93,1,3.0,RU,1592448269
Tasiilaq,65.61,-37.64,277.15,80,100,11.8,GL,1592448269
Hobart,-42.88,147.33,280.37,70,42,3.1,AU,1592448269
Namie,37.48,141.0,299.26,78,100,1.34,JP,1592448269
Provideniya,64.38,-173.3,286.15,66,9,4.0,RU,1592448270
Albany,42.6,-73.97,295.93,90,50,1.22,US,1592448270
Māngrol,21.12,70.12,302.9,79,31,4.76,IN,1592448270
Haines Junction,60.75,-137.51,288.29,48,88,4.17,CA,1592448270
Lizzano,40.39,17.45,293.71,73,0,3.62,IT,1592448270
Carutapera,-1.2,-46.02,296.88,92,12,1.88,BR,1592448270
Iqaluit,63.75,-68.51,276.15,74,75,4.6,CA,1592448271
Lüderitz,-26.65,15.16,293.92,23,0,10.09,NA,1592448271
Japura,-0.32,102.35,303.56,63,87,1.34,ID,1592448271
Torbay,47.67,-52.73,287.59,54,90,9.3,CA,1592448271
Jamestown,42.1,-79.24,294.82,56,1,2.6,US,1592448271
Harper,4.38,-7.72,298.03,85,100,4.74,LR,1592448271
Caniço,32.63,-16.85,292.15,77,20,3.1,PT,1592448271
Codrington,-38.27,141.97,287.82,65,82,7.79,AU,1592448272
Vaini,-21.2,-175.2,297.15,73,20,5.1,TO,1592448272
Ushuaia,-54.8,-68.3,274.15,86,2,2.6,AR,1592448168
Boyolangu,-8.12,111.89,301.29,75,46,4.5,ID,1592448272
Airai,-8.93,125.41,294.22,72,97,2.8,TL,1592448272
Fallon,39.47,-118.78,295.15,12,20,4.1,US,1592448272
Blackwater,-23.58,148.88,295.05,48,0,6.39,AU,1592448272
Thompson,55.74,-97.86,277.15,93,90,5.7,CA,1592448121
Tura,25.52,90.22,296.91,98,100,3.18,IN,1592448004
New Norfolk,-42.78,147.06,280.37,73,62,0.45,AU,1592448273
Port Alfred,-33.59,26.89,284.26,77,0,1.34,ZA,1592448273
Tomohon,1.33,124.84,305.15,59,20,4.1,ID,1592448273
Kaitangata,-46.28,169.85,282.04,62,40,1.34,NZ,1592448273
George Town,5.41,100.34,303.15,79,20,0.5,MY,1592448209
Scottsbluff,41.87,-103.67,300.15,22,1,9.8,US,1592448273
Pevek,69.7,170.31,279.72,63,99,4.58,RU,1592448273
Dikson,73.51,80.55,273.8,90,15,2.75,RU,1592448274
Båtsfjord,70.63,29.72,284.19,64,40,2.66,NO,1592448274
Egvekinot,66.32,-179.17,288.96,35,63,0.5,RU,1592448274
Ergani,38.27,39.76,294.15,55,0,3.1,TR,1592448274
Bluff,-46.6,168.33,281.52,63,7,4.82,NZ,1592448274
Beloha,-25.17,45.05,288.59,89,26,3.67,MG,1592448274
Husavik,66.04,-17.34,278.15,93,88,5.1,IS,1592448274
Maragogi,-9.01,-35.22,296.62,87,7,3.88,BR,1592448274
Muzhi,65.37,64.67,279.87,59,59,7.35,RU,1592448274
Port Blair,11.67,92.75,302.56,77,99,6.3,IN,1592448274
Amahai,-3.33,128.92,301.1,82,43,5.22,ID,1592448275
Lorengau,-2.02,147.27,303.02,71,12,4.9,PG,1592448275
Grand Gaube,-20.01,57.66,293.15,88,60,4.02,MU,1592448275
Butaritari,3.07,172.79,301.5,70,17,4.63,KI,1592448275
Khatanga,71.97,102.5,285.84,39,90,2.21,RU,1592448275
Mahon,39.89,4.27,293.15,94,0,2.1,ES,1592448275
Aksu,41.12,80.26,300.59,22,100,4.05,CN,1592448275
Nizwá,22.93,57.53,307.86,23,49,0.91,OM,1592448275
Kangaatsiaq,68.31,-53.46,274.83,91,30,4.11,GL,1592448276
La Ronge,55.1,-105.28,283.15,71,90,5.1,CA,1592448276
Rexburg,43.83,-111.79,282.15,81,75,5.1,US,1592447999
Praia da Vitória,38.73,-27.07,290.15,88,75,3.09,PT,1592448276
Port Elizabeth,-33.92,25.57,282.15,87,0,1.0,ZA,1592448276
Qaanaaq,77.48,-69.36,271.21,95,25,0.15,GL,1592448276
Aleppo Governorate,36.25,37.5,295.15,50,0,6.92,SY,1592448276
Saldanha,-33.01,17.94,281.15,70,0,1.0,ZA,1592448276
Uppsala County,60.0,17.75,284.26,100,3,0.5,SE,1592448276
Bilibino,68.05,166.44,299.65,23,94,5.49,RU,1592448276
Gladstone,-23.85,151.25,297.15,50,40,7.2,AU,1592448222
Oparino,59.85,48.28,284.31,55,0,1.34,RU,1592448277
Vila,42.03,-8.16,282.59,92,9,1.16,PT,1592448277
Yerbogachën,61.28,108.01,293.52,36,0,1.54,RU,1592448277
Baracoa,20.35,-74.5,299.47,86,99,2.83,CU,1592448277
Longyearbyen,78.22,15.64,277.15,80,75,2.1,SJ,1592447997
East London,-33.02,27.91,287.77,60,15,4.63,ZA,1592448277
Kyaikto,17.3,97.02,297.9,92,100,1.7,MM,1592448277
Yellowknife,62.46,-114.35,288.15,41,40,5.7,CA,1592448058
Hamilton,39.18,-84.53,296.15,64,1,1.48,US,1592448277
Bengkulu,-3.8,102.27,302.24,64,67,1.0,ID,1592448277
North Bend,43.41,-124.22,290.37,77,1,11.3,US,1592448277
La Unión,-5.4,-80.75,293.02,73,32,4.35,PE,1592448278
Cap Malheureux,-19.98,57.61,293.15,88,52,4.02,MU,1592448278
Adrar,20.5,-10.07,306.87,21,14,7.89,MR,1592448278
Mahébourg,-20.41,57.7,294.15,83,75,8.2,MU,1592448278
Nautanwa,27.43,83.42,303.66,67,93,3.38,IN,1592448278
Bredasdorp,-34.53,20.04,279.15,87,7,2.63,ZA,1592448278
Pisco,-13.7,-76.22,290.15,88,17,5.1,PE,1592448278
Hermanus,-34.42,19.23,282.04,82,0,0.45,ZA,1592448278
Saint-Philippe,-21.36,55.77,292.15,82,40,4.6,RE,1592448278
Paducah,37.08,-88.6,296.15,64,1,1.59,US,1592448278
Pangoa,-12.12,-73.0,293.61,85,65,0.94,PE,1592448278
Zyryanovsk,49.74,84.27,293.07,65,25,1.59,KZ,1592448065
Katsuura,35.13,140.3,298.15,64,100,0.45,JP,1592448279
Port Macquarie,-31.43,152.92,290.37,93,93,0.89,AU,1592448279
Tiksi,71.69,128.87,286.88,54,95,3.03,RU,1592448279
Chokurdakh,70.63,147.92,304.22,21,2,5.39,RU,1592448279
Sayyan,15.17,44.32,291.65,34,1,0.99,YE,1592448279
Saint Anthony,45.02,-93.22,301.15,39,1,7.2,US,1592448279
Tabas,33.6,56.92,301.15,18,0,1.0,IR,1592448279
